"ISSUE_SEVERITY_RANK","ISSUE_SEVERITY","PRIORITY_SCORE","PROBLEM_TITLE","CVE","CWE","PROJECT_NAME","PROJECT_URL","EXPLOIT_MATURITY","AUTOFIXABLE","FIRST_INTRODUCED","PRODUCT_NAME","ISSUE_URL","ISSUE_STATUS_INDICATOR","ISSUE_TYPE"
4,"Critical",899,"Arbitrary File Write via Archive Extraction (Zip Slip)","[""CVE-2018-1002204""]","[""CWE-29""]","e-corp-demo/goof-kubernetes(master):package.json","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7","Mature","Auto Fixable","2023-03-07 23:04:09.540","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7#issue-npm:adm-zip:20180415","Open","Vulnerability"
3,"High",820,"NoSQL Injection","[]","[""CWE-89""]","e-corp-demo/goof-kubernetes(master)","https://app.snyk.io/org/stranger-danger-9r4/project/2af08480-2e40-4b73-90cd-fc9b98ea55e5",,"Not Auto Fixable","2023-03-07 23:04:24.374","Snyk Code","https://app.snyk.io/org/stranger-danger-9r4/project/2af08480-2e40-4b73-90cd-fc9b98ea55e5#issue-db7471fa-7dc4-48d5-bcf8-2934ea657cb8","Open","Vulnerability"
3,"High",820,"NoSQL Injection","[]","[""CWE-89""]","e-corp-demo/goof-kubernetes(master)","https://app.snyk.io/org/stranger-danger-9r4/project/2af08480-2e40-4b73-90cd-fc9b98ea55e5",,"Not Auto Fixable","2023-03-07 23:04:24.374","Snyk Code","https://app.snyk.io/org/stranger-danger-9r4/project/2af08480-2e40-4b73-90cd-fc9b98ea55e5#issue-9b0e51a7-60ec-46b4-9a0f-273dc5f81fe8","Open","Vulnerability"
3,"High",820,"NoSQL Injection","[]","[""CWE-89""]","e-corp-demo/goof-kubernetes(master)","https://app.snyk.io/org/stranger-danger-9r4/project/2af08480-2e40-4b73-90cd-fc9b98ea55e5",,"Not Auto Fixable","2023-03-07 23:04:24.374","Snyk Code","https://app.snyk.io/org/stranger-danger-9r4/project/2af08480-2e40-4b73-90cd-fc9b98ea55e5#issue-fd948544-1979-4308-9ff7-2d1c59a984b8","Open","Vulnerability"
3,"High",807,"Hardcoded Secret","[]","[""CWE-547""]","e-corp-demo/goof-kubernetes(master)","https://app.snyk.io/org/stranger-danger-9r4/project/2af08480-2e40-4b73-90cd-fc9b98ea55e5",,"Not Auto Fixable","2023-03-07 23:04:24.374","Snyk Code","https://app.snyk.io/org/stranger-danger-9r4/project/2af08480-2e40-4b73-90cd-fc9b98ea55e5#issue-3fc7356a-bc65-49cb-9a13-768bd90c7161","Open","Vulnerability"
4,"Critical",800,"Arbitrary Code Execution","[""CVE-2017-5638""]","[""CWE-94""]","e-corp-demo/java-goof(main):todolist-goof/todolist-web-struts/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33","Mature","Auto Fixable","2023-03-07 21:11:36.276","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33#issue-SNYK-JAVA-ORGAPACHESTRUTS-30207","Open","Vulnerability"
4,"Critical",800,"Remote Code Execution (RCE)","[""CVE-2021-44228""]","[""CWE-94""]","e-corp-demo/java-goof(main):todolist-goof/todolist-web-struts/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33","Mature","Auto Fixable","2023-03-07 21:11:36.276","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33#issue-SNYK-JAVA-ORGAPACHELOGGINGLOG4J-2314720","Open","Vulnerability"
4,"Critical",800,"Remote Code Execution (RCE)","[""CVE-2021-44228""]","[""CWE-94""]","e-corp-demo/java-goof(main):log4shell-goof/log4shell-client/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/3f131f2b-b384-4b61-9791-ec34d6c2f76f","Mature","Auto Fixable","2023-03-07 21:11:10.235","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/3f131f2b-b384-4b61-9791-ec34d6c2f76f#issue-SNYK-JAVA-ORGAPACHELOGGINGLOG4J-2314720","Open","Vulnerability"
4,"Critical",790,"Remote Code Execution","[""CVE-2022-22965""]","[""CWE-94""]","e-corp-demo/java-goof(main):todolist-goof/todolist-core/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/b93ef788-0a91-4fcf-95a9-a57f35f07f84","Mature","Auto Fixable","2023-03-07 21:11:13.069","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/b93ef788-0a91-4fcf-95a9-a57f35f07f84#issue-SNYK-JAVA-ORGSPRINGFRAMEWORK-2436751","Open","Vulnerability"
4,"Critical",790,"Deserialization of Untrusted Data","[""CVE-2015-7501"",""CVE-2015-4852""]","[""CWE-502""]","e-corp-demo/java-goof(main):todolist-goof/todolist-web-common/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/50fdb859-a136-4184-970c-3ac969428d9f","Mature","Not Auto Fixable","2023-03-07 21:11:30.835","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/50fdb859-a136-4184-970c-3ac969428d9f#issue-SNYK-JAVA-COMMONSCOLLECTIONS-30078","Open","Vulnerability"
4,"Critical",790,"Deserialization of Untrusted Data","[""CVE-2015-7501"",""CVE-2015-4852""]","[""CWE-502""]","e-corp-demo/java-goof(main):log4shell-goof/log4shell-server/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/1e22bde4-e961-4bcc-9f1a-1fcdd8d560d3","Mature","Auto Fixable","2023-03-07 21:11:12.255","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/1e22bde4-e961-4bcc-9f1a-1fcdd8d560d3#issue-SNYK-JAVA-COMMONSCOLLECTIONS-30078","Open","Vulnerability"
4,"Critical",790,"Remote Code Execution (RCE)","[""CVE-2020-17530""]","[""CWE-94""]","e-corp-demo/java-goof(main):todolist-goof/todolist-web-struts/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33","Mature","Auto Fixable","2023-03-07 21:11:36.276","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33#issue-SNYK-JAVA-ORGAPACHESTRUTS-1049003","Open","Vulnerability"
4,"Critical",790,"Remote Code Execution","[""CVE-2022-22965""]","[""CWE-94""]","e-corp-demo/java-goof(main):todolist-goof/todolist-web-struts/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33","Mature","Not Auto Fixable","2023-03-07 21:11:36.276","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33#issue-SNYK-JAVA-ORGSPRINGFRAMEWORK-2436751","Open","Vulnerability"
4,"Critical",790,"Arbitrary Command Execution","[""CVE-2016-3087""]","[""CWE-20""]","e-corp-demo/java-goof(main):todolist-goof/todolist-web-struts/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33","Mature","Auto Fixable","2023-03-07 21:11:36.276","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33#issue-SNYK-JAVA-ORGAPACHESTRUTS-30772","Open","Vulnerability"
4,"Critical",760,"Remote Code Execution (RCE)","[""CVE-2019-0230""]","[""CWE-94""]","e-corp-demo/java-goof(main):todolist-goof/todolist-web-struts/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33","Mature","Auto Fixable","2023-03-07 21:11:36.276","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33#issue-SNYK-JAVA-ORGAPACHESTRUTS-608097","Open","Vulnerability"
4,"Critical",760,"Deserialization of Untrusted Data","[""CVE-2017-5645""]","[""CWE-502""]","e-corp-demo/java-goof(main):todolist-goof/todolist-web-struts/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33","Mature","Auto Fixable","2023-03-07 21:11:36.276","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33#issue-SNYK-JAVA-ORGAPACHELOGGINGLOG4J-31409","Open","Vulnerability"
4,"Critical",760,"Arbitrary Code Execution","[""CVE-2017-12611""]","[""CWE-20"",""CWE-502""]","e-corp-demo/java-goof(main):todolist-goof/todolist-web-struts/pom.xml","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33","Mature","Auto Fixable","2023-03-07 21:11:36.276","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/000782b8-57a1-4abb-8aef-aa213409fd33#issue-SNYK-JAVA-ORGAPACHESTRUTS-31503","Open","Vulnerability"
